productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name
610409,0.03,0.23,999.0,0.23,0.15,Reverse Holofoil,Bloodmoon Ursaluna
610410,0.03,0.2,999.0,0.19,0.1,Reverse Holofoil,Great Tusk
610410,0.01,0.15,999.0,0.06,0.01,Normal,Great Tusk
610411,0.35,0.8,999.0,0.54,,Holofoil,Sandy Shocks ex - 056/131
610412,0.01,0.17,999.0,0.06,0.01,Holofoil,Okidogi
610412,0.01,0.21,999.0,0.2,0.1,Reverse Holofoil,Okidogi
610413,0.5,1.0,999.0,1.0,0.85,Holofoil,Cornerstone Mask Ogerpon ex - 058/131
610414,0.05,0.52,999.0,0.67,0.9,Holofoil,Umbreon
610414,0.25,0.6,999.0,0.53,,Reverse Holofoil,Umbreon
610415,5.0,8.38,5000.0,7.73,14.72,Holofoil,Umbreon ex - 060/131
610416,0.01,0.15,999.0,0.05,0.01,Normal,Sneasel
610416,0.03,0.2,999.0,0.21,0.05,Reverse Holofoil,Sneasel
610417,0.01,0.2,999.0,0.2,0.1,Reverse Holofoil,Houndour
610417,0.01,0.15,999.0,0.14,0.01,Normal,Houndour
610418,0.01,0.15,999.0,0.08,0.01,Normal,Houndoom
610418,0.05,0.22,999.0,0.19,0.07,Reverse Holofoil,Houndoom
610419,0.35,0.83,999.0,0.71,0.99,Holofoil,Tyranitar ex
610420,0.03,0.23,999.0,0.23,0.14,Reverse Holofoil,Roaring Moon
610420,0.01,0.2,999.0,0.17,0.1,Holofoil,Roaring Moon
610421,0.01,0.18,999.0,0.13,0.01,Reverse Holofoil,Bronzor
610421,0.01,0.15,999.0,0.04,0.01,Normal,Bronzor
610422,0.01,0.15,999.0,0.04,0.01,Normal,Bronzong
610422,0.03,0.2,999.0,0.19,0.1,Reverse Holofoil,Bronzong
610423,0.02,0.2,999.0,0.15,0.1,Reverse Holofoil,Heatran
610423,0.01,0.15,999.0,0.06,0.01,Normal,Heatran
610424,0.02,0.2,999.0,0.21,0.1,Reverse Holofoil,Duraludon
610424,0.01,0.15,999.0,0.07,0.01,Normal,Duraludon
610425,0.01,0.15,999.0,0.09,0.01,Holofoil,Archaludon
610425,0.01,0.2,999.0,0.12,0.1,Reverse Holofoil,Archaludon
610426,0.01,0.26,999.0,0.27,0.2,Reverse Holofoil,Dreepy
610426,0.01,0.23,999.0,0.27,0.1,Normal,Dreepy
610427,0.01,0.25,999.0,0.21,0.1,Reverse Holofoil,Drakloak
610427,0.01,0.22,999.0,0.23,0.1,Normal,Drakloak
610428,0.6,1.37,9999.0,1.22,2.75,Holofoil,Dragapult ex - 073/131
610429,0.03,0.31,999.0,0.27,0.36,Reverse Holofoil,Eevee
610429,0.01,0.25,999.0,0.26,0.1,Normal,Eevee
610430,3.6,6.4,999.0,5.86,11.97,Holofoil,Eevee ex - 075/131
610431,1.0,1.73,999.0,2.07,,Holofoil,Snorlax ex
610432,0.01,0.2,999.0,0.19,0.01,Reverse Holofoil,Hoothoot
610432,0.01,0.15,999.0,0.09,0.01,Normal,Hoothoot
610433,0.04,0.25,999.0,0.24,0.22,Reverse Holofoil,Noctowl
610433,0.01,0.2,999.0,0.15,0.15,Holofoil,Noctowl
610434,0.01,0.2,999.0,0.18,0.17,Normal,Dunsparce
610434,0.01,0.24,999.0,0.21,0.21,Reverse Holofoil,Dunsparce
610435,0.19,0.57,999.0,0.51,,Reverse Holofoil,Dudunsparce
610435,0.17,0.56,999.0,0.49,,Holofoil,Dudunsparce
610436,0.05,0.2,999.0,0.2,0.1,Reverse Holofoil,Miltank
610436,0.01,0.15,999.0,0.1,0.01,Normal,Miltank
610437,0.5,1.54,999.0,1.52,2.38,Holofoil,Lugia ex
610438,0.01,0.15,999.0,0.09,0.01,Normal,Buneary
610438,0.01,0.2,999.0,0.16,0.01,Reverse Holofoil,Buneary
610439,0.01,0.22,999.0,0.2,0.1,Reverse Holofoil,Lopunny
610439,0.01,0.15,999.0,0.06,0.01,Normal,Lopunny
610440,0.01,0.19,999.0,0.15,0.01,Normal,Fan Rotom
610440,0.01,0.25,999.0,0.23,0.1,Reverse Holofoil,Fan Rotom
610441,0.01,0.25,999.0,0.24,0.15,Reverse Holofoil,Regigigas
610441,0.01,0.15,999.0,0.12,0.01,Normal,Regigigas
610442,0.02,0.21,999.0,0.2,0.1,Reverse Holofoil,Shaymin
610442,0.01,0.15,999.0,0.06,0.01,Normal,Shaymin
610443,0.03,0.2,999.0,0.14,0.1,Reverse Holofoil,Furfrou
610443,0.01,0.15,999.0,0.03,0.01,Normal,Furfrou
610444,0.01,0.2,999.0,0.21,0.1,Reverse Holofoil,Hawlucha
610444,0.01,0.15,999.0,0.06,0.01,Normal,Hawlucha
610445,0.01,0.15,999.0,0.06,0.01,Normal,Noibat
610445,0.01,0.2,999.0,0.18,0.1,Reverse Holofoil,Noibat
610446,0.25,0.85,999.0,0.77,1.0,Holofoil,Noivern ex
610447,0.43,0.89,999.0,0.78,0.75,Holofoil,Terapagos ex - 092/131
610448,0.01,0.15,999.0,0.04,0.01,Normal,Amarys - 093/131
610448,0.01,0.2,999.0,0.18,0.01,Reverse Holofoil,Amarys - 093/131
610449,0.01,0.2,999.0,0.16,0.1,Normal,Area Zero Underdepths
610449,0.01,0.27,999.0,0.27,0.25,Reverse Holofoil,Area Zero Underdepths
610450,0.01,0.25,999.0,0.26,0.22,Reverse Holofoil,Binding Mochi
610450,0.01,0.22,999.0,0.23,0.1,Normal,Binding Mochi
610451,0.01,0.2,999.0,0.16,0.02,Reverse Holofoil,Black Belt's Training - 096/131
610451,0.01,0.15,999.0,0.1,0.01,Normal,Black Belt's Training - 096/131
610452,0.01,0.15,999.0,0.08,0.01,Normal,Black Belt's Training - 097/131
610452,0.01,0.2,999.0,0.1,0.1,Reverse Holofoil,Black Belt's Training - 097/131
610453,0.01,0.2,999.0,0.18,0.04,Reverse Holofoil,Black Belt's Training - 098/131
610453,0.01,0.15,999.0,0.06,0.01,Normal,Black Belt's Training - 098/131
610454,0.01,0.15,999.0,0.05,0.01,Normal,Black Belt's Training - 099/131
610454,0.01,0.2,999.0,0.18,0.01,Reverse Holofoil,Black Belt's Training - 099/131
610455,0.02,0.2,999.0,0.21,0.1,Reverse Holofoil,Briar
610455,0.01,0.18,999.0,0.18,0.01,Normal,Briar
610456,0.01,0.25,1000.0,0.22,0.19,Normal,Buddy-Buddy Poffin
610456,0.01,0.27,999.0,0.2,0.1,Reverse Holofoil,Buddy-Buddy Poffin
610457,0.01,0.25,999.0,0.24,0.2,Normal,Bug Catching Set
610457,0.05,0.28,999.0,0.29,0.27,Reverse Holofoil,Bug Catching Set
610458,0.03,0.23,999.0,0.19,,Reverse Holofoil,Carmine
610458,0.01,0.22,999.0,0.22,0.1,Normal,Carmine
610459,0.01,0.25,999.0,0.23,0.1,Reverse Holofoil,Ciphermaniac's Codebreaking
610459,0.01,0.2,999.0,0.2,0.1,Normal,Ciphermaniac's Codebreaking
610460,0.03,0.28,999.0,0.26,0.3,Reverse Holofoil,Crispin - 105/131
610460,0.01,0.23,999.0,0.23,0.2,Normal,Crispin - 105/131
610461,0.01,0.25,999.0,0.25,0.23,Reverse Holofoil,Earthen Vessel
610461,0.01,0.2,999.0,0.21,0.1,Normal,Earthen Vessel
610462,0.01,0.22,999.0,0.2,0.1,Reverse Holofoil,Explorer's Guidance
610462,0.01,0.18,999.0,0.18,0.07,Normal,Explorer's Guidance
610463,0.01,0.18,999.0,0.18,0.1,Normal,Festival Grounds
610463,0.01,0.23,999.0,0.22,0.1,Reverse Holofoil,Festival Grounds
610464,0.01,0.15,999.0,0.11,0.01,Normal,Friends in Paldea - 109/131
610464,0.02,0.2,999.0,0.17,0.1,Reverse Holofoil,Friends in Paldea - 109/131
610465,0.01,0.15,999.0,0.13,0.01,Normal,Glass Trumpet
610465,0.01,0.2,999.0,0.16,0.1,Reverse Holofoil,Glass Trumpet
